yyyymm,g_t,y_true,y_hat
200611,"[-1.29844896e-04 -1.62497605e-04  2.92498177e-04 -5.71919837e-05
 -3.60672239e-04]",-0.9919494495244424,0.1770642602293774
200612,"[-4.56536866e-05  1.79509912e-04  1.18592128e-04 -2.15846186e-04
  2.21986722e-05]",-0.8706972602589149,0.1168268054851352
200701,"[ 9.50501777e-05  4.47819525e-05 -2.37104189e-04  6.53217459e-05
 -2.34829865e-04]",-0.8233168826884374,0.18534337112236693
200702,"[-3.32938183e-04  3.65689333e-04 -1.30857977e-04  2.39630207e-04
 -2.40278107e-05]",1.8937712837229426,0.01409381686317115
200703,"[ 5.56437828e-04  2.88662280e-04  1.82515816e-04 -6.24081626e-05
  2.23671115e-04]",0.8083927289213857,0.19945537033729643
200704,"[ 1.94192535e-05  6.09079257e-04 -1.76278368e-04  2.08372825e-04
 -1.00907500e-04]",3.298899521359046,0.06923564277463283
200705,[ 0.00020507 -0.00028157 -0.00051293  0.0002155  -0.00025587],-1.1284254183138547,0.25130470279400596
200706,"[ 6.37781977e-05  1.51810015e-04  3.61155894e-04 -4.99764769e-04
  1.89422251e-04]",-0.85335027266131,0.13650349820554203
200707,"[-6.40763155e-05  1.02419959e-04  1.19041750e-04 -4.02713655e-04
  5.32325889e-04]",4.057094486287747,0.0741930346867161
200708,"[-1.10545741e-05 -1.27257849e-04 -1.06840451e-04  1.81534079e-04
 -3.73653711e-04]",1.2280630427902357,0.19288579244643972
200709,"[ 2.18265714e-04  3.63737026e-05  2.04979018e-04  1.13631012e-04
 -1.62444286e-04]",5.911352874433905,0.19472590523411068
200710,"[-4.30636487e-04  2.47145956e-04 -1.64384044e-04 -1.07008793e-04
  7.20187748e-05]",3.7746487699825613,0.017405811208736178
200711,"[ 6.10219023e-04  2.22775514e-05  2.14693359e-04 -1.56913080e-04
  2.54239363e-04]",2.1909316264585037,0.24776682524168453
200712,"[-1.16702830e-04  5.85581170e-04 -6.69620236e-06  2.59371068e-04
  1.78203725e-04]",-2.8112368572195616,0.0048735667487343065
200801,"[-4.79743586e-04  1.02106390e-04 -5.39436292e-04  3.38336751e-05
  2.23001688e-04]",-1.260761504266153,0.006942598913582304
200802,"[-8.67631069e-04  2.46541986e-05 -3.68570445e-05  4.02307915e-04
 -9.03102324e-05]",1.7846957648865627,-0.05890111358149953
200803,"[-7.24511106e-04 -4.60678583e-04  7.58610308e-05  3.80295834e-05
  3.83478510e-04]",3.9321251081882904,4.96858285179397e-05
